image_idx,rgb_file,depth_file,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
473,1305031469.127679.png,1305031469.119984.png,0.432538,0.541837,1.143894,1.116936,0.316220,0.589087,0.768357
474,1305031469.159703.png,1305031469.155046.png,0.407824,0.446609,0.989380,0.963752,0.331448,0.614572,0.791763
475,1305031469.195540.png,1305031469.184648.png,0.391581,0.381194,0.870423,0.914308,0.338112,0.630861,0.807714
476,1305031469.227754.png,1305031469.219541.png,0.364342,0.319495,0.780126,0.785993,0.360722,0.666861,0.827684
477,1305031469.259586.png,1305031469.256002.png,0.360871,0.299944,0.738519,0.755347,0.361597,0.674803,0.830174
478,1305031469.296754.png,1305031469.288263.png,0.355726,0.278318,0.690642,0.696686,0.369289,0.680018,0.835111
479,1305031469.327618.png,1305031469.319772.png,0.343353,0.251513,0.643951,0.640024,0.384363,0.692087,0.839299
480,1305031469.359592.png,1305031469.356116.png,0.354324,0.246941,0.607790,0.581624,0.371785,0.672050,0.835916
481,1305031469.395695.png,1305031469.388556.png,0.359858,0.237538,0.564557,0.532856,0.363278,0.663773,0.830120
482,1305031469.427651.png,1305031469.420278.png,0.366091,0.244792,0.568593,0.552079,0.363906,0.653377,0.821831
483,1305031469.459668.png,1305031469.456563.png,0.371215,0.247684,0.563378,0.542511,0.372339,0.639018,0.808193
484,1305031469.495744.png,1305031469.488520.png,0.425887,0.321022,0.635504,0.686940,0.334036,0.586878,0.758552
485,1305031469.527622.png,1305031469.520417.png,0.457928,0.366724,0.675989,0.813894,0.310910,0.560568,0.737495
486,1305031469.559645.png,1305031469.556139.png,0.482433,0.393967,0.690026,0.821360,0.295168,0.530699,0.709135
487,1305031469.595755.png,1305031469.588500.png,0.511092,0.432274,0.713495,0.873276,0.278101,0.505571,0.684364
488,1305031469.627752.png,1305031469.620563.png,0.566845,0.517519,0.775591,1.202487,0.252152,0.462408,0.628932
489,1305031469.659590.png,1305031469.656279.png,0.564531,0.511236,0.773053,1.215098,0.257588,0.463572,0.624786
490,1305031469.695613.png,1305031469.687925.png,0.606217,0.562636,0.799306,1.195396,0.227626,0.421919,0.586970
491,1305031469.727679.png,1305031469.718943.png,0.599837,0.547555,0.792374,1.221841,0.230185,0.426934,0.589370
492,1305031469.759599.png,1305031469.756754.png,0.624359,0.574037,0.806055,1.270456,0.207810,0.403537,0.565212
493,1305031469.795621.png,1305031469.784733.png,0.607043,0.545628,0.791641,1.265720,0.222161,0.417836,0.579486
494,1305031469.827526.png,1305031469.820544.png,0.599538,0.525989,0.777581,1.239411,0.230554,0.416824,0.580584
495,1305031469.859574.png,1305031469.854359.png,0.568734,0.489063,0.759964,1.405148,0.255395,0.452249,0.610276
496,1305031469.895755.png,1305031469.885343.png,0.556969,0.468658,0.744369,1.325038,0.266518,0.466127,0.617109
497,1305031469.927854.png,1305031469.921773.png,0.555475,0.464444,0.737636,1.368206,0.277541,0.470099,0.625269
498,1305031469.959805.png,1305031469.953180.png,0.542553,0.445301,0.722034,1.374582,0.289448,0.485998,0.640353
499,1305031469.995551.png,1305031469.985327.png,0.537511,0.431856,0.707271,1.319446,0.289313,0.492202,0.657793
500,1305031470.027694.png,1305031470.024714.png,0.522482,0.412352,0.691528,1.317676,0.297446,0.511950,0.680430
501,1305031470.059638.png,1305031470.057400.png,0.534553,0.415595,0.685600,1.303556,0.285948,0.502489,0.669593
502,1305031470.095944.png,1305031470.088874.png,0.525219,0.403509,0.676380,1.359065,0.293496,0.518149,0.681725
503,1305031470.127633.png,1305031470.124820.png,0.527418,0.401636,0.672572,1.407751,0.282313,0.520888,0.682231
504,1305031470.159626.png,1305031470.156744.png,0.539493,0.410324,0.673707,1.441845,0.273621,0.509684,0.670804
505,1305031470.196092.png,1305031470.188876.png,0.522561,0.392526,0.661578,1.469186,0.287538,0.535058,0.689542
506,1305031470.227618.png,1305031470.224776.png,0.511066,0.378654,0.651590,1.490794,0.293475,0.548200,0.704564
507,1305031470.259965.png,1305031470.253015.png,0.510768,0.374333,0.645643,1.480047,0.294041,0.552128,0.700059
508,1305031470.295718.png,1305031470.287867.png,0.516716,0.374733,0.641623,1.435273,0.291237,0.546695,0.687702
509,1305031470.327644.png,1305031470.324266.png,0.529472,0.383696,0.643868,1.425793,0.284115,0.537064,0.669446
510,1305031470.359624.png,1305031470.356871.png,0.534425,0.388520,0.644360,1.473787,0.287620,0.538817,0.660696
511,1305031470.395823.png,1305031470.388056.png,0.527230,0.379479,0.636259,1.496920,0.302388,0.540447,0.667311
512,1305031470.427641.png,1305031470.424090.png,0.545601,0.384248,0.627952,1.470260,0.285780,0.511932,0.654343
